1,32,7.08617826167189,1,32,11,771
2,45,6.42982677570383,34,79,1024,2196
3,63,6.96158237872482,80,142,2394,3913
4,13,6.79537217730695,143,155,3992,4319
5,112,6.96853994570346,159,272,4574,7263
6,7,6.17592565361878,274,281,7677,7882
7,5,9.69493278179931,282,286,8059,8162
8,22,7.2213225961749,287,308,8250,8763
9,9,7.65675070186883,310,318,8935,9140
10,47,7.28354693238699,319,366,9529,10612
11,7,6.04786452783459,368,374,10693,10901
12,40,6.54550214910655,375,414,11081,12109
13,56,6.57593442853956,418,473,12496,13926
14,40,8.17388579719228,474,513,14629,15451
15,11,6.48126325712941,516,526,15845,16137
16,44,7.27862235529602,527,573,16294,17313
17,46,6.50581280230815,574,621,17707,18897
18,4,5.4225033890646,622,626,19052,19186
19,46,6.80597544916973,628,676,19376,20514
20,11,6.8955429717701,680,691,21146,21425
21,36,8.38392150165353,692,727,21498,22225
22,62,6.66989403474799,728,792,22662,24226
23,6,8.55106888361026,794,799,24602,24735
24,31,7.59053550003677,802,832,24971,25659
25,62,6.74825035283191,835,897,25988,27535
26,60,6.58212295405678,898,960,27714,29242
27,4,6.41333974667294,962,965,29587,29706
28,35,7.56958612386729,967,1001,29832,30614
29,6,6.99626865671649,1003,1008,31164,31318
30,5,7.71962328238398,1009,1013,31406,31524
31,25,7.5111164523495,1014,1039,31599,32159
32,50,6.85635927322593,1040,1090,32470,33692
33,4,9.52910347018166,1095,1098,33932,34009
34,6,5.95513796069612,1102,1107,34396,34574
35,37,7.10786667947363,1108,1145,34718,35596
36,65,6.5213901597239,1146,1210,35686,37354
37,6,7.63747454175164,1211,1216,37511,37655
38,45,6.89035656319222,1217,1261,37927,39028
39,56,6.29659196959646,1263,1318,39367,40864
40,38,7.51646699677579,1325,1362,41409,42263
41,40,6.76456495391642,1364,1404,42789,43781
42,55,7.20996285776705,1406,1460,44117,45398
43,7,6.4846837944666,1461,1468,45565,45756
44,4,9.52834683182447,1471,1474,46163,46242
45,37,7.37992659964896,1475,1511,46442,47285
46,110,6.52513065091145,1512,1624,47698,50517
47,53,6.79289779038572,1627,1680,50997,52307
48,4,6.87600275040128,1681,1684,52606,52712
49,43,6.37342331882435,1685,1728,52813,53951
50,5,9.36738899644017,1729,1733,54104,54210
51,55,7.03843840513251,1734,1789,54523,55840
52,4,9.52834683182447,1790,1793,55918,56001
53,30,7.71975571261917,1797,1826,56636,57293
54,55,6.71381255035359,1829,1886,57531,58903
55,4,5.60511934233255,1887,1890,59050,59182
56,14,5.97048872714861,1891,1904,59411,59815
57,34,6.92234083706024,1905,1938,59899,60730
58,4,7.57910692856715,1939,1942,61040,61140
59,44,7.2498791686805,1943,1986,61232,62250
60,14,5.30564293023074,1988,2001,62482,62932
61,29,8.28019415627672,2008,2036,63383,63975
62,58,7.02346402089278,2037,2095,64077,65460
63,5,6.0415659739003,2099,2103,65743,65894
64,8,6.26288458025612,2105,2112,66128,66360
65,32,7.63358778625953,2113,2144,66443,67152
66,36,7.82648395208455,2145,2180,67997,68771
67,10,6.15308885060298,2188,2197,69210,69491
68,33,6.74345578268367,2198,2230,69776,70599
